,categori,co,max,no2,o3,pm10,so2,tanggal
0,TIDAK SEHAT,27.0,135.0,10.0,135.0,75.0,4.0,2013-01-01
1,TIDAK SEHAT,26.0,192.0,8.0,192.0,35.0,4.0,2013-01-02
2,TIDAK SEHAT,36.0,195.0,9.0,195.0,61.0,5.0,2013-01-03
3,SANGAT TIDAK SEHAT,13.0,210.0,10.0,210.0,39.0,4.0,2013-01-04
4,TIDAK SEHAT,14.0,111.0,8.0,111.0,53.0,5.0,2013-01-05
5,TIDAK SEHAT,20.0,150.0,9.0,150.0,32.0,3.0,2013-01-06
6,TIDAK SEHAT,14.0,170.0,11.0,170.0,28.0,4.0,2013-01-07
7,BAIK,25.0,33.0,6.0,31.0,33.0,2.0,2013-01-08
8,SEDANG,18.0,92.0,7.0,92.0,21.0,2.0,2013-01-09
9,SEDANG,16.0,76.0,6.0,76.0,24.0,4.0,2013-01-10
10,SEDANG,15.0,53.0,5.0,53.0,39.0,5.0,2013-01-11
11,TIDAK SEHAT,16.0,140.0,6.0,140.0,38.0,7.0,2013-01-12
12,TIDAK SEHAT,37.0,154.0,11.0,154.0,37.0,3.0,2013-01-13
13,TIDAK SEHAT,26.0,171.0,13.0,171.0,49.0,4.0,2013-01-14
14,TIDAK SEHAT,40.0,154.0,22.0,154.0,53.0,3.0,2013-01-15
15,TIDAK SEHAT,37.0,159.0,20.0,159.0,54.0,6.0,2013-01-16
16,TIDAK SEHAT,42.0,186.0,18.0,186.0,59.0,8.0,2013-01-17
17,SANGAT TIDAK SEHAT,37.0,202.0,27.0,202.0,49.0,3.0,2013-01-18
18,TIDAK SEHAT,78.0,110.0,33.0,110.0,84.0,7.0,2013-01-19
19,TIDAK SEHAT,17.0,152.0,11.0,152.0,39.0,3.0,2013-01-20
20,TIDAK SEHAT,23.0,170.0,12.0,170.0,55.0,6.0,2013-01-21
21,TIDAK SEHAT,29.0,195.0,14.0,195.0,61.0,6.0,2013-01-22
22,TIDAK SEHAT,50.0,139.0,15.0,139.0,57.0,9.0,2013-01-23
23,TIDAK SEHAT,28.0,135.0,10.0,135.0,40.0,5.0,2013-01-24
24,TIDAK SEHAT,34.0,155.0,15.0,155.0,51.0,8.0,2013-01-25
25,TIDAK SEHAT,50.0,144.0,15.0,144.0,62.0,9.0,2013-01-26
26,TIDAK SEHAT,25.0,122.0,11.0,122.0,52.0,5.0,2013-01-27
27,TIDAK SEHAT,29.0,195.0,14.0,195.0,41.0,5.0,2013-01-28
28,TIDAK SEHAT,44.0,184.0,15.0,184.0,69.0,7.0,2013-01-29
29,TIDAK SEHAT,29.0,151.0,14.0,151.0,55.0,5.0,2013-01-30
30,TIDAK SEHAT,36.0,195.0,20.0,195.0,74.0,9.0,2013-01-31
31,TIDAK SEHAT,35.0,158.0,16.0,158.0,69.0,19.0,2013-02-01
32,SANGAT TIDAK SEHAT,28.0,209.0,16.0,209.0,82.0,6.0,2013-02-02
33,TIDAK SEHAT,63.0,135.0,22.0,135.0,69.0,21.0,2013-02-03
34,TIDAK SEHAT,55.0,128.0,25.0,128.0,87.0,14.0,2013-02-04
35,TIDAK SEHAT,37.0,158.0,21.0,158.0,59.0,9.0,2013-02-05
36,TIDAK SEHAT,28.0,151.0,14.0,151.0,52.0,7.0,2013-02-06
37,SANGAT TIDAK SEHAT,57.0,213.0,21.0,213.0,59.0,9.0,2013-02-07
38,SANGAT TIDAK SEHAT,33.0,205.0,22.0,205.0,65.0,12.0,2013-02-08
39,TIDAK SEHAT,34.0,180.0,30.0,180.0,70.0,7.0,2013-02-09
40,TIDAK SEHAT,38.0,185.0,19.0,185.0,65.0,20.0,2013-02-10
